municipality,people_insured,year,pharma_costs,gp_consultation_costs,hospital_costs,mental_healthcare_costs
CULEMBORG,28173,2011,7796929.02,845516.13,28947268.34,
DALFSEN,27640,2011,7946734.81,873294.48,31277572.32,
DANTUMADIEL,19371,2011,6094669.58,743855.75,22866924.65,
DE BILT,42522,2011,12272291.56,1607396.11,48064901.18,
DE FRYSKE MARREN,51991,2011,15015048.03,1858971.02,57751689.81,
DE MARNE,10526,2011,3420978.01,510063.43,12420764.23,
DE RONDE VENEN,43369,2011,12343711.33,1540543.72,46389904.82,
DE WOLDEN,24017,2011,7254232.62,915749.74,27549215.65,
DELFT,92727,2011,29166130.35,3026454.82,107516447.8,
DELFZIJL,26428,2011,10137052.92,1202462.98,35728122.88,
DEN HELDER,55792,2011,19851592.29,2302009.82,75657574.07,
DEURNE,31868,2011,9202870.29,1138663.17,37253818.91,
DEVENTER,98137,2011,31402292.68,3239136.91,105642511.3,
DIEMEN,24604,2011,7153627.52,773191.9,24541246.94,
DINKELLAND,26356,2011,6894298.05,757790.49,27496037.82,
DOESBURG,11624,2011,4081033.35,517920.6,14222877.59,
DOETINCHEM,57110,2011,18179153.67,1951198.39,67699571.02,
DONGEN,25497,2011,7730063.99,867833.17,28135834.32,
DONGERADEEL,24452,2011,7477865.05,854808.52,30346653.2,
DORDRECHT,120029,2011,37577320.77,4759642.05,133178583.6,
DRECHTERLAND,19389,2011,4458642.35,643350.76,17856965.13,
DRIMMELEN,26786,2011,7933627.38,1046633.7,28543859.15,
DRONTEN,39418,2011,11174732.05,1385437.51,42984255.76,
DRUTEN,18324,2011,5548249.53,598927.62,21047220.95,
DUIVEN,25539,2011,7293843.72,892962.97,27480689.42,
ECHT-SUSTEREN,32352,2011,11824069.89,1438169.26,39820713.35,
EDAM-VOLENDAM,35185,2011,11012584.6,1576400.71,41149614.48,
EDE,108423,2011,29933916.56,3694841.97,113231963,
EEMNES,8874,2011,2437322.08,264090.15,9207932.8,
EEMSMOND,18834,2011,5981228.69,730442.27,20297550.16,
EERSEL,18384,2011,5106056.77,691911.6,20347971.83,
EIJSDEN-MARGRATEN,25033,2011,8919507.58,1048401.37,26246448.89,
EINDHOVEN,215555,2011,67289189.1,8688092.11,262481239.2,
ELBURG,22457,2011,6395910.44,731726.92,25947781.45,
EMMEN,109535,2011,36748581.3,4461688.28,143124360.4,
ENKHUIZEN,18369,2011,5330323.84,612515.18,19045544.08,
ENSCHEDE,155174,2011,47761677.56,5415874.98,185117393.6,
EPE,32794,2011,11482153.07,1308258.37,40634077.57,
ERMELO,26319,2011,8375844.71,883870.07,30755435.46,
ETTEN-LEUR,42163,2011,12632686.84,1507593.85,45344501.05,
FERWERDERADIEL,8882,2011,1950690.39,243376.92,9034546.14,
FRANEKERADEEL,20548,2011,6161647.5,741041.5,23018787.85,
GEERTRUIDENBERG,21651,2011,6588929.98,885556.61,23748879.16,
GELDERMALSEN,27262,2011,7741764.53,831024.79,27810513.12,
GELDROP-MIERLO,38877,2011,12522376.59,1567903.86,53385361.92,
GEMERT-BAKEL,29281,2011,7969651.78,1026402.97,32684676.89,
GENNEP,17498,2011,5288441.59,626594.33,21961855.12,
GIESSENLANDEN,14585,2011,3894979.17,510783.83,16697942.14,
GILZE EN RIJEN,25457,2011,7724636.67,976134.53,27604756.05,
GOEREE-OVERFLAKKEE,48660,2011,17509479.89,1842372.86,60140870.1,
GOES,37040,2011,12766204.24,1289525.9,40467035.8,
GOIRLE,22964,2011,6913985.04,811218.61,25889659.53,
GOOISE MEREN,56972,2011,17209179.4,2120916.34,65083233.81,
GORINCHEM,35355,2011,10471250.4,1316464.72,39910733.67,
GOUDA,71698,2011,21575203.08,2589353.54,81404403.7,
GRAVE,12383,2011,3619084.13,419201.71,14656667.15,
GRONINGEN,184571,2011,47083737.58,6065356.7,161600361.3,
GROOTEGAST,12335,2011,3531527.59,588107.9,11598147.49,
GULPEN-WITTEM,14436,2011,5114697.3,612065.72,16974056.5,
HAAKSBERGEN,24541,2011,6754124.4,764569.02,26682493.78,
HAAREN,13807,2011,3919839.43,484685.38,15855606.25,
HAARLEM,153123,2011,44107262.57,5166306.28,171035396.4,
HAARLEMMERLIEDE CA,5465,2011,1352752.89,212217.83,6288802.81,
HAARLEMMERMEER,145689,2011,40515837.63,5206648.99,155600942.2,
HALDERBERGE,29477,2011,11107679.33,944882.87,32878798.65,
HARDENBERG,59797,2011,16412030.02,2151027,69326645.23,
HARDERWIJK,45494,2011,14539765.16,1563109.61,52832508.04,
HARDINXVELD-GIESSENDAM,17603,2011,4927515.35,593566.81,18075702.33,
HAREN,18732,2011,5778400.3,728639.59,21014850.28,
HARLINGEN,15899,2011,5389179.44,534818.73,17748796.34,
HATTEM,11886,2011,3316312.31,385737.25,13640513.24,
HEEMSKERK,39633,2011,11864998.76,1366576.36,47817753.59,
HEEMSTEDE,26563,2011,8810358.98,1025043.36,34969482.44,
HEERDE,18465,2011,6178779.37,694214.62,23714422.1,
HEERENVEEN,50576,2011,15121809.22,1603034.13,61728025.81,
HEERHUGOWAARD,52776,2011,13878035.7,1989413.75,55074708.34,
HEERLEN,89018,2011,36908635.19,4354347.77,122288391.2,
HEEZE-LEENDE,15501,2011,4632341.7,659119.67,18801252.98,
HEILOO,22808,2011,6256228.32,780943.25,26133101.01,
HELLENDOORN,36117,2011,10732130.36,1374340.55,40769665.26,
HELLEVOETSLUIS,39448,2011,13141825.76,1492746.76,50810623.99,
HELMOND,89286,2011,26588843.77,3397629.11,107627324.4,
HENDRIK-IDO-AMBACHT,28288,2011,8161917.13,1016255.25,29936834.31,
HENGELO,81344,2011,23749265.53,2688681.98,95107770.84,
HET BILDT,10565,2011,3110687.32,325127.23,10548973.59,
HEUMEN,16861,2011,4516699.31,623895.38,17832703.82,
HEUSDEN,43504,2011,13337747.29,1589047.13,47237765.64,
HILLEGOM,23432,2011,6907959.11,907197.88,25134841.3,
HILVARENBEEK,15198,2011,4262656.75,516946.02,15458869.09,
HILVERSUM,86190,2011,26186841.46,3044929.55,104978475.7,
HOF VAN TWENTE,35639,2011,11523123.23,1258393.83,41843187.29,
HOLLANDS KROON,48347,2011,13605714.9,1522946.18,51515423.23,
HOOGEVEEN,55600,2011,18213049.94,2255981.12,60716593.47,
HOOGEZAND-SAPPEMEER,35028,2011,12126190.32,1397999.98,42064077.94,
HOORN,72785,2011,19747796.92,2562387.8,76317761.28,
HORST AAN DE MAAS,42498,2011,13188417.76,1734379.43,48854187.46,
HOUTEN,48547,2011,12279508.11,1546229.97,44189070.65,
HUIZEN,41898,2011,11895123.42,1624713.81,46244232.12,
HULST,26068,2011,9041837.32,969487.72,28877934.41,
IJSSELSTEIN,34457,2011,9941485.11,1285639.69,36826005.01,
KAAG EN BRAASSEM,25902,2011,7377814.35,961564.93,26991491.03,
KAMPEN,50813,2011,13724062.4,1538836.35,51529437.77,
KAPELLE,12367,2011,3387765.06,334199.62,11492553.15,
KATWIJK,61999,2011,18353120.18,2240243.8,64766072.8,
KERKRADE,45026,2011,17984723.95,2415675.31,58797763.83,
KOGGENLAND,22491,2011,4842675.22,638271.32,21131424.87,
KOLLUMERLAND CA,12974,2011,4164514.07,422668.01,14183136.15,
KORENDIJK,10757,2011,3279205.58,398178.29,11021663.89,
KRIMPEN AAN DEN IJSSEL,28947,2011,9182215.15,1189601.78,34573200.11,
KRIMPENERWAARD,53729,2011,15380369.41,1856633.14,58559053.74,
LAARBEEK,21770,2011,6674899.3,1017494.69,24744834.01,
LANDERD,15265,2011,4513783.64,555574.86,16303116.74,
LANDGRAAF,37728,2011,14420702.89,1710519.02,48507748.84,
LANDSMEER,10407,2011,3350201.16,399719.97,13105068.77,
LANGEDIJK,27189,2011,6135039.17,869618.36,28158899.73,
LANSINGERLAND,55637,2011,13466163.71,1953487.31,55466296.43,
LAREN,11202,2011,3708664.31,429433.43,15579964.69,
LEEK,19659,2011,5437702.15,751843.69,20805633.58,
LEERDAM,21034,2011,7424753.21,788105.21,23954736.13,
LEEUWARDEN,104324,2011,30331308.8,3679970.86,113124359,
LEEUWARDERADEEL,10380,2011,2851421.06,370250.35,10435435.95,
LEIDEN,115369,2011,32171034.58,4061738.26,110767984,
LEIDERDORP,26862,2011,8566099.25,921645.13,31496499.01,
LEIDSCHENDAM-VOORBURG,72595,2011,25256345.95,2664292.25,91735590.82,
LELYSTAD,75808,2011,24650747.63,2677856.75,90134426.2,
LEUDAL,36504,2011,11354370.3,1608623.4,43606992.32,
LEUSDEN,29106,2011,8007587.23,963972.94,31605924.55,
LINGEWAAL,10993,2011,2856278.21,331821.15,11314062.24,
LINGEWAARD,46009,2011,12937610.41,1658161.8,49106971.69,
LISSE,22299,2011,6684025.15,779900.22,23822502.54,
LITTENSERADIEL,10979,2011,2738338.29,387657.52,9059076.7,
LOCHEM,36705,2011,9797127.84,1094760.38,36571502.33,
LOON OP ZAND,23274,2011,7959008.3,921347.53,27333223.2,
LOPIK,14120,2011,3501779.14,545358.47,14649354.58,
LOPPERSUM,10483,2011,3760607.92,417777.71,11597736.35,
LOSSER,22716,2011,7162727.06,666497.54,27165676.12,
MAASDRIEL,24740,2011,6923089.38,784416.14,26832628.72,
MAASGOUW,24113,2011,9191738.14,1105700.6,31678896.13,
MAASSLUIS,32198,2011,11019178.39,1199012.23,37541072.18,
MAASTRICHT,114092,2011,46427587.12,5638704.52,132388782,
MARUM,10445,2011,2770758.87,375737.79,10319089.85,
MEDEMBLIK,43307,2011,11949926.47,1640366.23,43015110.71,
MEERSSEN,19552,2011,8264024.39,1034625.5,22938574.25,
MEIERIJSTAD,79496,2011,23899367.05,3102613.29,88695243.77,
MENAMERADIEL,13851,2011,3788639.03,521222.88,15151487.59,
MENTERWOLDE,12490,2011,4420612.3,505248.73,15040272.08,
MEPPEL,32818,2011,10534474.89,1262874.8,40663046.77,
MIDDELBURG,47795,2011,14979355.68,1599806.77,48365337.53,
MIDDEN-DELFLAND,18317,2011,4503760.36,605276.47,18652259.21,
MIDDEN-DRENTHE,33652,2011,10815760.12,1229415.44,37634516.94,
MILL EN SINT HUBERT,11020,2011,3377084.5,356154.53,12261278.37,
MOERDIJK,37622,2011,11885583.12,1424123.53,40414575.49,
MOLENWAARD,29079,2011,6978313.43,1047954.26,25897443.29,
MONTFERLAND,35039,2011,12363242.74,1288686.61,41223351.85,
MONTFOORT,13669,2011,3271978.11,430597.7,14022679.88,
MOOK EN MIDDELAAR,8029,2011,2255020.82,332815.77,8542683.11,
NEDER-BETUWE,21443,2011,7295461.18,1137300.15,22788208.52,
NEDERWEERT,16806,2011,5252059.36,737087.87,20154292.32,
NEERIJNEN,11837,2011,3073362.57,432562.37,12729082.47,
NIEUWEGEIN,61407,2011,18847754.98,2299547.93,69758998.71,
NIEUWKOOP,27220,2011,7240541.14,1039608.61,28700078.82,
NIJKERK,40370,2011,10966354.88,1311382.03,45150506.13,
NIJMEGEN,162946,2011,46613377.85,5968723.1,179824331.7,
NISSEWAARD,86515,2011,28957818.82,3363851.29,102009297,
NOORD BEVELAND,7504,2011,2745648.23,307471.99,8556398.98,
NOORDENVELD,31259,2011,9460452.4,1203147.87,34173484.47,
NOORDOOSTPOLDER,46442,2011,12714141.16,1520140.17,48037856.3,
NOORDWIJK,25491,2011,7164710.25,938092.05,26097233.36,
NOORDWIJKERHOUT,15866,2011,4820144.09,550359.18,16361310.43,
NUENEN CA,22815,2011,6392065.17,803100.22,26736005.81,
NUNSPEET,26584,2011,8026499.71,947011.46,30142094.12,
NUTH,15646,2011,6239692.62,739773.1,19685404.29,
OEGSTGEEST,22550,2011,6308346.19,801568.93,21351471.76,
OIRSCHOT,17996,2011,5226173.51,774045.92,18683438.74,
OISTERWIJK,25867,2011,8714675.01,1061495.27,29750643.86,
OLDAMBT,39469,2011,14943519.48,1660366.97,50539820.14,
OLDEBROEK,22824,2011,6479373.08,740280.75,24771507.95,
OLDENZAAL,32389,2011,9794950.35,1128881.6,37645430.18,
OLST-WIJHE,17754,2011,5169469.38,604866.09,19660010.87,
OMMEN,17520,2011,4992490.84,556845.92,18866278.54,
ONDERBANKEN,7952,2011,2749391.7,332256.46,9681975.34,
OOST GELRE,30191,2011,8893954.91,1103803.23,33654590.64,
OOSTERHOUT,54466,2011,17067967.6,1784920.04,60870678.07,
OOSTSTELLINGWERF,26155,2011,8059129.69,1006176.48,28616919.53,
OOSTZAAN,9177,2011,2781250.79,305663.92,10287391.98,
OPMEER,11488,2011,3218802.6,445104.27,10887916.24,
OPSTERLAND,30193,2011,8351681.82,970755.73,32946552.08,
OSS,90155,2011,29560125.54,3424236.41,113402712.1,
OUD-BEIJERLAND,23609,2011,7645416.08,787107.83,26756005.19,
OUDE IJSSELSTREEK,40166,2011,12274641.83,1448443.45,46762251.01,
OUDER-AMSTEL,13212,2011,3739964.21,440454.95,14735760.57,
OUDEWATER,9963,2011,3122133.81,301501.71,11115972.7,
OVERBETUWE,46370,2011,13500475.98,1673662.84,48324027.66,
PAPENDRECHT,32257,2011,10123657.35,1093035.6,36610693.3,
PEEL EN MAAS,43444,2011,13332096.41,1934882.28,49385334.45,
PEKELA,12749,2011,5250182.41,527213.83,16247540.91,
PIJNACKER-NOOTDORP,50092,2011,12274303.34,1637244.9,49365962.02,
PURMEREND,80050,2011,25446651.97,3277424.2,98252583.28,
PUTTEN,24070,2011,7810462.97,989266.21,26208093.58,
RAALTE,36991,2011,11051164.67,1187883,39245790.19,
REIMERSWAAL,21347,2011,6647497.27,688652.4,20817370.72,
RENKUM,32003,2011,10936797.98,1204617.61,40021391.43,
RENSWOUDE,4700,2011,1064924.86,171030.03,4671232.15,
REUSEL-DE MIERDEN,12658,2011,3512285.08,451682.62,13012084.13,
RHEDEN,44055,2011,14147479.71,1695399.01,57454723.49,
RHENEN,18965,2011,4763516.44,646549.79,21434208.84,
RIDDERKERK,45596,2011,15162888.46,2080859.33,58152059.76,
RIJNWAARDEN,11082,2011,3039214.04,390360.41,13279796.52,
RIJSSEN-HOLTEN,37721,2011,11814181.23,1440884.3,37373730.53,
RIJSWIJK,47241,2011,18021686.63,1745870.87,65580954.36,
ROERDALEN,20995,2011,7733973.85,860541.6,26676766.8,
ROERMOND,56099,2011,20006114.47,2160877.91,73372299.15,
ROOSENDAAL,78369,2011,27157436.03,2781279.68,86118731.93,
ROTTERDAM,615948,2011,202312907.4,24338086.59,756445766.1,
ROZENDAAL,1495,2011,481053.25,46809.3,1795692.2,
RUCPHEN,22503,2011,9348861.39,917951.71,28578722.73,
S GRAVENHAGE,498178,2011,170513990.4,19207002.91,586400426.9,
S HERTOGENBOSCH,152272,2011,45476124.59,5707559.89,168662386.3,
SCHAGEN,48104,2011,12431098.3,1609636.15,50796150.3,
SCHERPENZEEL,9353,2011,2573727.83,299353.4,9182565.47,
SCHIEDAM,76668,2011,25717500.6,2988823.82,91918351.93,
SCHIERMONNIKOOG,917,2011,264784.25,41334.02,900386.7,
SCHINNEN,13097,2011,4471013.07,602165.6,16322814.17,
SCHOUWEN-DUIVELAND,34283,2011,12284870.17,1222795.49,37653419.53,
SIMPELVELD,10528,2011,3502327.73,416158.17,12996037.5,
SINT ANTHONIS,11879,2011,3235541.39,412244.3,12388586,
SINT-MICHIELSGESTEL,28436,2011,8177753.28,1136283.23,30543704.05,
SITTARD-GELEEN,94634,2011,37976677.69,4678431.92,122143603.2,
SLIEDRECHT,24525,2011,8200387,794654.49,27687320.8,
SLOCHTEREN,15593,2011,4263530.2,626482.85,16397710.37,
SLUIS,23335,2011,8537333.89,842902.56,23317225.23,
SMALLINGERLAND,55606,2011,16516431.42,1874857.33,59709162.58,
SOEST,46018,2011,13411637.26,1637226.98,55256956.02,
SOMEREN,18508,2011,5348869.91,673337.45,21604873.97,
SON EN BREUGEL,15927,2011,4801073.39,597667.99,19326315.96,
STADSKANAAL,33131,2011,12349288.61,1410092.86,42950464.45,
STAPHORST,16131,2011,3710792.32,398528.52,15952746.97,
STEDE BROEC,21700,2011,5826771.35,765610.57,22497734.85,
STEENBERGEN,23397,2011,8323877.11,1010924.94,28246378.34,
STEENWIJKERLAND,43511,2011,13708835.41,1594140.2,52083761.33,
STEIN,25691,2011,9488448.27,1153850.58,31466019.79,
STICHTSE VECHT,63640,2011,19228162.17,2371234.84,67055404.26,
STRIJEN,8916,2011,2973906.7,320885.33,8345919.33,
SUDWEST-FRYSLAN,84638,2011,24045555.53,2856918.12,88430044.95,
TEN BOER,7509,2011,1852073.76,281124.45,7154838.59,
TERNEUZEN,53623,2011,19121475.07,2086557.97,63053184.51,
TERSCHELLING,4708,2011,1263128.89,226816.93,4226888.62,
TEXEL,13757,2011,4397672.29,580087.29,14174069.5,
TEYLINGEN,35837,2011,10125130.43,1315049.99,32704869.02,
THOLEN,25446,2011,9146827.1,993114.61,25615127.26,
TIEL,41799,2011,12285840.74,1581387.08,49002915.73,
TILBURG,207559,2011,65642569.32,7403536.07,227381518.8,
TUBBERGEN,21410,2011,5540711.27,631133.24,20648846,
TWENTERAND,33966,2011,10485124.19,1303345.85,37228561.01,
TYNAARLO,32922,2011,9584981.89,1268454.02,37105656.52,
TYTSJERKSTERADIEL,31956,2011,8789341.79,1060465.14,35854895.97,
UDEN,41017,2011,12704845.92,1655081.2,52193261.69,
UITGEEST,12977,2011,3350153.16,417235,12633030.54,
UITHOORN,28452,2011,8266556.02,933535.7,29472729.98,
URK,18311,2011,4105806.2,541480.37,15550388.3,
UTRECHT,310060,2011,81459710.97,10083141.86,292247636.8,
UTRECHTSE HEUVELRUG,48444,2011,14965657.89,2088953.98,57810556.89,
VAALS,7934,2011,3301846.4,377786.75,9031196.16,
VALKENBURG AAN DE GEUL,17028,2011,6372235.42,855372.59,19330694.65,
VALKENSWAARD,30879,2011,10109957.61,1098547.3,37716413.02,
VEENDAM,28122,2011,9416970.91,1149622.07,35121286.73,
VEENENDAAL,62928,2011,19138247.93,2189630.55,68280808.13,
VEERE,22063,2011,6461944.69,750733.61,20427561.52,
VELDHOVEN,44078,2011,12679249.19,1527162.08,51123266.43,
VELSEN,67819,2011,21391888.89,2600333.04,82046804.98,
VENLO,99917,2011,36499907.51,4012707.92,127859926.5,
VENRAY,43206,2011,13619554.84,1564096.64,48846509.02,
VIANEN,19789,2011,6059136.93,658815.77,21591842.59,
VLAARDINGEN,71406,2011,24671116.65,2532842.48,85250792.78,
VLAGTWEDDE,16191,2011,5965213.56,666433.46,21047805.84,
VLIELAND,1075,2011,299656.43,50740.34,900102.41,
VLISSINGEN,44186,2011,15851098.5,1442359.39,47767335.69,
VOERENDAAL,12731,2011,4614155.46,562977.31,14034432.19,
VOORSCHOTEN,24350,2011,7929457.17,955639.07,26934491.67,
VOORST,23979,2011,7238050.16,900104.61,25950430.71,
VUGHT,25997,2011,7416809.15,892690,30236616.94,
WAALRE,16696,2011,4770260.32,657478.63,19108368.77,
WAALWIJK,48527,2011,15584780.48,2015627.96,52364936.8,
WADDINXVEEN,25456,2011,7535326.47,904494.11,28680721.07,
WAGENINGEN,33492,2011,9004828.58,999122.21,33364676.49,
WASSENAAR,25295,2011,8192825.17,978376.6,32117573.3,
WATERLAND,17162,2011,5333197.78,670443.95,19996523.86,
WEERT,48834,2011,17494896.06,1922163.84,63742278.38,
WEESP,18138,2011,5244633.7,703582.1,19442739.94,
WERKENDAM,26361,2011,7674467.41,1023999.69,28274226.91,
WEST MAAS EN WAAL,18452,2011,5183224.9,633162.78,20481334.79,
WESTERVELD,19300,2011,6182997.66,697682.45,24621368.02,
WESTERVOORT,15305,2011,4876718.31,549991.07,16970797.01,
WESTLAND,101279,2011,29799746.73,3625741.21,111049854.9,
WESTSTELLINGWERF,25971,2011,7643427,966509.56,31556793.62,
WESTVOORNE,14057,2011,4617439.47,600699.14,16682623.88,
WIERDEN,23968,2011,6520802.85,840711.84,26091362.97,
WIJCHEN,41120,2011,12014730.5,1646054.74,45131719.54,
WIJDEMEREN,23594,2011,7030800.86,933199.6,29600959.36,
WIJK BIJ DUURSTEDE,23203,2011,6171251.97,759766.46,24306846.87,
WINSUM,14119,2011,3752371.57,500837.59,12942787.56,
WINTERSWIJK,28900,2011,9204951.5,1067634.59,35661668.34,
WOENSDRECHT,20936,2011,7475144.49,757356.7,25324794.02,
WOERDEN,50416,2011,14583445.53,1801202.34,56849203.45,
WORMERLAND,15886,2011,4429353.4,604293.27,17578693.06,
WOUDENBERG,12058,2011,3278495.88,393209.13,11771136.84,
WOUDRICHEM,14569,2011,4290578.15,591982.89,15681072.47,
ZAANSTAD,149584,2011,45839956.82,5600734.23,174625301.7,
ZALTBOMMEL,26698,2011,7312981.89,1058049.29,27440815.36,
ZANDVOORT,16810,2011,6301990.06,744667.68,24491339.68,
ZEDERIK,13445,2011,3710263.51,468069.98,12927595.47,
ZEEWOLDE,21247,2011,5040832.34,579665.75,20676032.83,
ZEIST,61336,2011,18163758.78,1946158.61,69417388.05,
ZEVENAAR,32641,2011,10461709.33,1229400,39153744.67,
ZOETERMEER,123163,2011,39091320.26,4509624.67,143497899.7,
ZOETERWOUDE,8221,2011,2201010.83,299003.55,8179156.41,
ZUIDHORN,18832,2011,4775722.53,687015.68,18868911.97,
ZUIDPLAS,40998,2011,11220791.34,1530338.11,42991179.27,
ZUNDERT,20876,2011,6768224.54,745520.19,22254361.85,
ZUTPHEN,47406,2011,14308542.86,1556907.32,52862395.03,
ZWARTEWATERLAND,22004,2011,5461646.05,716848.05,20032030.79,
ZWIJNDRECHT,45047,2011,15811297.16,1773979.54,53051649.54,
ZWOLLE,121643,2011,32899539.47,3849362.58,130621185.8,
AA EN HUNZE,25814,2012,6717166.98,857272.09,29708839.29,
AALBURG,12757,2012,3293143.82,453571.76,13337854.52,
AALSMEER,30685,2012,7736113.18,1048322.46,31406875.02,
AALTEN,26994,2012,7382330.93,1055367.91,33620509.57,
ACHTKARSPELEN,28292,2012,6937209.69,938379.29,32369023.23,
ALBLASSERDAM,19450,2012,5884184.67,792053.51,22028087.52,
ALBRANDSWAARD,25235,2012,5631082.37,854900.86,26610678.58,
ALKMAAR,107038,2012,26391243.42,3645977.35,122413902.6,
ALMELO,72915,2012,21708861.15,2578031.5,91780516.91,
ALMERE,195391,2012,47100695.63,6714453.72,223526971.2,
ALPHEN AAN DEN RIJN,107492,2012,26905265.35,3837424.2,117424298.1,
ALPHEN-CHAAM,9696,2012,2389711.65,361491.01,9795181.18,
AMELAND,3526,2012,811951.6,155121.62,3066262.81,
AMERSFOORT,150322,2012,37258739.69,4702914.33,167036569,
AMSTELVEEN,82552,2012,22796542.47,2485168.87,97972850.28,
AMSTERDAM,799362,2012,241842930.4,25408151.2,910415394.8,
APELDOORN,158250,2012,42998899.16,4936253.09,202862724,
APPINGEDAM,12159,2012,4261409.26,520348.42,17447323,
ARNHEM,148983,2012,40079431.81,5282514.01,187511765.3,
ASSEN,67394,2012,16504039.47,2328346.53,75549543.3,
ASTEN,16337,2012,3749384.25,583677.69,18449897.5,
BAARLE-NASSAU,6660,2012,2173936.37,244768.21,7917792.6,
BAARN,24532,2012,6737325.46,858387.5,30499414.23,
BARENDRECHT,47624,2012,11402318.49,1553317.93,52512454.98,
BARNEVELD,53336,2012,12285597.04,1744572.27,53576749.96,
BEDUM,10624,2012,2764033.78,315245.94,12283939.38,
BEEK,16371,2012,4881358.37,712680.86,21333025.76,
BEEMSTER,8817,2012,1864295.71,264372.54,9496974,
BEESEL,13670,2012,3783741.25,518023.93,16578944.9,
